Sleep,Program,,,,,,,,,,,,,,,,,,
04-04-2023,3rd Floor Female,,,,,,,,,,,,,,,,,,
29-03-2023,3rd Floor Female,,,,,,,,,,,,,,,,,,
27-03-2023,3rd Floor Female,,,,,,,,,,,,,,,,,,
21-03-2023,3rd Floor Female,,,,,,,,,,,,,,,,,,
17-03-2023,3rd Floor Female,,,,,,,,,,,,,,,,,,
03-03-2023,3rd Floor Female,,,,,,,,,,,,,,,,,,
27-02-2023,3rd Floor Female,,,,,,,,,,,,,,,,,,
22-02-2023,3rd Floor Female,,,,,,,,,,,,,,,,,,
21-02-2023,3rd Floor Female,,,,,,,,,,,,,,,,,,
10-02-2023,3rd Floor Female,,,,,,,,,,,,,,,,,,
09-02-2023,3rd Floor Female,,,,,,,,,,,,,,,,,,
07-02-2023,3rd Floor Female,,,,,,,,,,,,,,,,,,
06-02-2023,3rd Floor Female,,,,,,,,,,,,,,,,,,
30-01-2023,3rd Floor Female,,,,,,,,,,,,,,,,,,
30-01-2023,Day Sleep (3rd Floor),,,,,,,,,,,,,,,,,,
29-01-2023,3rd Floor Female,,,,,,,,,,,,,,,,,,
28-01-2023,3rd Floor Female,,,,,,,,,,,,,,,,,,
27-01-2023,3rd Floor Female,,,,,,,,,,,,,,,,,,
27-01-2023,Day Sleep (3rd Floor),,,,,,,,,,,,,,,,,,
26-01-2023,3rd Floor Female,,,,,,,,,,,,,,,,,,
26-01-2023,3rd Floor Female,,,,,,,,,,,,,,,,,,
25-01-2023,3rd Floor Female,,,,,,,,,,,,,,,,,,
24-01-2023,3rd Floor Female,,,,,,,,,,,,,,,,,,
24-01-2023,Day Sleep (3rd Floor),,,,,,,,,,,,,,,,,,
23-01-2023,3rd Floor Female,,,,,,,,,,,,,,,,,,
22-01-2023,3rd Floor Female,,,,,,,,,,,,,,,,,,
20-01-2023,3rd Floor Female,,,,,,,,,,,,,,,,,,
20-01-2023,Day Sleep (3rd Floor),,,,,,,,,,,,,,,,,,
19-01-2023,3rd Floor Female,,,,,,,,,,,,,,,,,,
18-01-2023,3rd Floor Female,,,,,,,,,,,,,,,,,,
17-01-2023,3rd Floor Female,,,,,,,,,,,,,,,,,,
16-01-2023,3rd Floor Female,,,,,,,,,,,,,,,,,,
16-01-2023,Day Sleep (3rd Floor),,,,,,,,,,,,,,,,,,
15-01-2023,3rd Floor Female,,,,,,,,,,,,,,,,,,
14-01-2023,3rd Floor Female,,,,,,,,,,,,,,,,,,
13-01-2023,3rd Floor Female,,,,,,,,,,,,,,,,,,
09-01-2023,2nd Floor Night Overflow,,,,,,,,,,,,,,,,,,
08-01-2023,Day Sleep (3rd Floor),,,,,,,,,,,,,,,,,,
07-01-2023,2nd Floor Night Overflow,,,,,,,,,,,,,,,,,,
07-01-2023,3rd Floor Female,,,,,,,,,,,,,,,,,,
05-01-2023,3rd Floor Female,,,,,,,,,,,,,,,,,,
04-01-2023,3rd Floor Female,,,,,,,,,,,,,,,,,,
03-01-2023,3rd Floor Female,,,,,,,,,,,,,,,,,,
03-01-2023,Day Sleep (3rd Floor),,,,,,,,,,,,,,,,,,
02-01-2023,2nd Floor Night Overflow,,,,,,,,,,,,,,,,,,
02-01-2023,3rd Floor Female,,,,,,,,,,,,,,,,,,
01-01-2023,3rd Floor Female,,,,,,,,,,,,,,,,,,
31-12-2022,3rd Floor Female,,,,,,,,,,,,,,,,,,
30-12-2022,3rd Floor Female,,,,,,,,,,,,,,,,,,
30-12-2022,3rd Floor Female,,,,,,,,,,,,,,,,,,
29-12-2022,3rd Floor Female,,,,,,,,,,,,,,,,,,
28-12-2022,3rd Floor Female,,,,,,,,,,,,,,,,,,
27-12-2022,3rd Floor Female,,,,,,,,,,,,,,,,,,
06-12-2022,3rd Floor Female,,,,,,,,,,,,,,,,,,
04-12-2022,3rd Floor Female,,,,,,,,,,,,,,,,,,
03-12-2022,3rd Floor Female,,,,,,,,,,,,,,,,,,
30-11-2022,3rd Floor Female,,,,,,,,,,,,,,,,,,
29-11-2022,2nd Floor Night Overflow,,,,,,,,,,,,,,,,,,
28-11-2022,3rd Floor Female,,,,,,,,,,,,,,,,,,
27-11-2022,3rd Floor Female,,,,,,,,,,,,,,,,,,
26-11-2022,2nd Floor Night Overflow,,,,,,,,,,,,,,,,,,
26-11-2022,3rd Floor Female,,,,,,,,,,,,,,,,,,
25-11-2022,3rd Floor Female,,,,,,,,,,,,,,,,,,
12-11-2022,3rd Floor Female,,,,,,,,,,,,,,,,,,
10-11-2022,3rd Floor Female,,,,,,,,,,,,,,,,,,
09-11-2022,3rd Floor Female,,,,,,,,,,,,,,,,,,
08-11-2022,3rd Floor Female,,,,,,,,,,,,,,,,,,
07-11-2022,3rd Floor Female,,,,,,,,,,,,,,,,,,
06-11-2022,3rd Floor Female,,,,,,,,,,,,,,,,,,
05-11-2022,3rd Floor Female,,,,,,,,,,,,,,,,,,
04-11-2022,3rd Floor Female,,,,,,,,,,,,,,,,,,
02-11-2022,3rd Floor Female,,,,,,,,,,,,,,,,,,
31-10-2022,3rd Floor Female,,,,,,,,,,,,,,,,,,
30-10-2022,3rd Floor Female,,,,,,,,,,,,,,,,,,
29-10-2022,3rd Floor Female,,,,,,,,,,,,,,,,,,
28-10-2022,3rd Floor Female,,,,,,,,,,,,,,,,,,
27-10-2022,3rd Floor Female,,,,,,,,,,,,,,,,,,
26-10-2022,3rd Floor Female,,,,,,,,,,,,,,,,,,
25-10-2022,3rd Floor Female,,,,,,,,,,,,,,,,,,
23-10-2022,2nd Floor Night Overflow,,,,,,,,,,,,,,,,,,
22-10-2022,3rd Floor Female,,,,,,,,,,,,,,,,,,
21-10-2022,3rd Floor Female,,,,,,,,,,,,,,,,,,
20-10-2022,3rd Floor Female,,,,,,,,,,,,,,,,,,
19-10-2022,3rd Floor Female,,,,,,,,,,,,,,,,,,
18-10-2022,3rd Floor Female,,,,,,,,,,,,,,,,,,
17-10-2022,3rd Floor Female,,,,,,,,,,,,,,,,,,
16-10-2022,3rd Floor Female,,,,,,,,,,,,,,,,,,
15-10-2022,3rd Floor Female,,,,,,,,,,,,,,,,,,
14-10-2022,3rd Floor Female,,,,,,,,,,,,,,,,,,
13-10-2022,3rd Floor Female,,,,,,,,,,,,,,,,,,
12-10-2022,3rd Floor Female,,,,,,,,,,,,,,,,,,
11-10-2022,3rd Floor Female,,,,,,,,,,,,,,,,,,
10-10-2022,3rd Floor Female,,,,,,,,,,,,,,,,,,
09-10-2022,3rd Floor Female,,,,,,,,,,,,,,,,,,
08-10-2022,3rd Floor Female,,,,,,,,,,,,,,,,,,
07-10-2022,3rd Floor Female,,,,,,,,,,,,,,,,,,
06-10-2022,3rd Floor Female,,,,,,,,,,,,,,,,,,
05-10-2022,3rd Floor Female,,,,,,,,,,,,,,,,,,
04-10-2022,3rd Floor Female,,,,,,,,,,,,,,,,,,
03-10-2022,2nd Floor Night Overflow,,,,,,,,,,,,,,,,,,
02-10-2022,3rd Floor Female,,,,,,,,,,,,,,,,,,
01-10-2022,3rd Floor Female,,,,,,,,,,,,,,,,,,
17-08-2022,3rd Floor Female,,,,,,,,,,,,,,,,,,
16-08-2022,3rd Floor Female,,,,,,,,,,,,,,,,,,
15-08-2022,3rd Floor Female,,,,,,,,,,,,,,,,,,
14-08-2022,3rd Floor Female,,,,,,,,,,,,,,,,,,
13-08-2022,3rd Floor Female,,,,,,,,,,,,,,,,,,
12-08-2022,3rd Floor Female,,,,,,,,,,,,,,,,,,
10-08-2022,3rd Floor Female,,,,,,,,,,,,,,,,,,
08-08-2022,3rd Floor Female,,,,,,,,,,,,,,,,,,
07-08-2022,3rd Floor Female,,,,,,,,,,,,,,,,,,
06-08-2022,3rd Floor Female,,,,,,,,,,,,,,,,,,
04-08-2022,3rd Floor Female,,,,,,,,,,,,,,,,,,
02-08-2022,3rd Floor Female,,,,,,,,,,,,,,,,,,
01-08-2022,3rd Floor Female,,,,,,,,,,,,,,,,,,
27-07-2022,3rd Floor Female,,,,,,,,,,,,,,,,,,
20-07-2022,3rd Floor Female,,,,,,,,,,,,,,,,,,
17-07-2022,2nd Floor Night Overflow,,,,,,,,,,,,,,,,,,
17-07-2022,3rd Floor Female,,,,,,,,,,,,,,,,,,
15-07-2022,3rd Floor Female,,,,,,,,,,,,,,,,,,
14-07-2022,3rd Floor Female,,,,,,,,,,,,,,,,,,
05-06-2022,3rd Floor Female,,,,,,,,,,,,,,,,,,
04-06-2022,3rd Floor Female,,,,,,,,,,,,,,,,,,
03-06-2022,3rd Floor Female,,,,,,,,,,,,,,,,,,
31-05-2022,3rd Floor Female,,,,,,,,,,,,,,,,,,
30-05-2022,3rd Floor Female,,,,,,,,,,,,,,,,,,
29-05-2022,2nd Floor Night Overflow,,,,,,,,,,,,,,,,,,
28-05-2022,3rd Floor Female,,,,,,,,,,,,,,,,,,
27-05-2022,3rd Floor Female,,,,,,,,,,,,,,,,,,
26-05-2022,3rd Floor Female,,,,,,,,,,,,,,,,,,
25-05-2022,3rd Floor Female,,,,,,,,,,,,,,,,,,
24-05-2022,3rd Floor Female,,,,,,,,,,,,,,,,,,
23-05-2022,2nd Floor Night Overflow,,,,,,,,,,,,,,,,,,
19-05-2022,3rd Floor Female,,,,,,,,,,,,,,,,,,
18-05-2022,2nd Floor Night Overflow,,,,,,,,,,,,,,,,,,
17-05-2022,2nd Floor Night Overflow,,,,,,,,,,,,,,,,,,
17-05-2022,Day Sleep (3rd Floor),,,,,,,,,,,,,,,,,,
16-05-2022,3rd Floor Female,,,,,,,,,,,,,,,,,,
15-05-2022,3rd Floor Female,,,,,,,,,,,,,,,,,,
14-05-2022,3rd Floor Female,,,,,,,,,,,,,,,,,,
13-05-2022,3rd Floor Female,,,,,,,,,,,,,,,,,,
12-05-2022,3rd Floor Female,,,,,,,,,,,,,,,,,,
11-05-2022,3rd Floor Female,,,,,,,,,,,,,,,,,,
10-05-2022,3rd Floor Female,,,,,,,,,,,,,,,,,,
09-05-2022,3rd Floor Female,,,,,,,,,,,,,,,,,,
08-05-2022,3rd Floor Female,,,,,,,,,,,,,,,,,,
07-05-2022,3rd Floor Female,,,,,,,,,,,,,,,,,,
06-05-2022,2nd Floor Night Overflow,,,,,,,,,,,,,,,,,,
28-04-2022,2nd Floor Night Overflow,,,,,,,,,,,,,,,,,,
26-04-2022,2nd Floor Night Overflow,,,,,,,,,,,,,,,,,,
25-04-2022,2nd Floor Night Overflow,,,,,,,,,,,,,,,,,,
20-04-2022,2nd Floor Night Overflow,,,,,,,,,,,,,,,,,,
19-04-2022,2nd Floor Night Overflow,,,,,,,,,,,,,,,,,,
18-04-2022,2nd Floor Night Overflow,,,,,,,,,,,,,,,,,,
17-04-2022,2nd Floor Night Overflow,,,,,,,,,,,,,,,,,,
16-04-2022,Day Sleep (3rd Floor),,,,,,,,,,,,,,,,,,
15-04-2022,2nd Floor Night Overflow,,,,,,,,,,,,,,,,,,
14-04-2022,2nd Floor Night Overflow,,,,,,,,,,,,,,,,,,
11-04-2022,2nd Floor Night Overflow,,,,,,,,,,,,,,,,,,
05-04-2022,2nd Floor Night Overflow,,,,,,,,,,,,,,,,,,
29-03-2022,2nd Floor Night Overflow,,,,,,,,,,,,,,,,,,
28-03-2022,2nd Floor Night Overflow,,,,,,,,,,,,,,,,,,
27-03-2022,2nd Floor Night Overflow,,,,,,,,,,,,,,,,,,
26-03-2022,2nd Floor Night Overflow,,,,,,,,,,,,,,,,,,
25-03-2022,2nd Floor Night Overflow,,,,,,,,,,,,,,,,,,
23-03-2022,2nd Floor Night Overflow,,,,,,,,,,,,,,,,,,
22-03-2022,2nd Floor Night Overflow,,,,,,,,,,,,,,,,,,
21-03-2022,2nd Floor Night Overflow,,,,,,,,,,,,,,,,,,
20-03-2022,2nd Floor Night Overflow,,,,,,,,,,,,,,,,,,
18-03-2022,2nd Floor Night Overflow,,,,,,,,,,,,,,,,,,
17-03-2022,2nd Floor Night Overflow,,,,,,,,,,,,,,,,,,
15-03-2022,2nd Floor Night Overflow,,,,,,,,,,,,,,,,,,
14-03-2022,2nd Floor Night Overflow,,,,,,,,,,,,,,,,,,
13-03-2022,2nd Floor Night Overflow,,,,,,,,,,,,,,,,,,
12-03-2022,2nd Floor Night Overflow,,,,,,,,,,,,,,,,,,
11-03-2022,2nd Floor Night Overflow,,,,,,,,,,,,,,,,,,
10-03-2022,2nd Floor Night Overflow,,,,,,,,,,,,,,,,,,
05-03-2022,2nd Floor Night Overflow,,,,,,,,,,,,,,,,,,
04-03-2022,2nd Floor Night Overflow,,,,,,,,,,,,,,,,,,
03-03-2022,2nd Floor Night Overflow,,,,,,,,,,,,,,,,,,
27-02-2022,2nd Floor Night Overflow,,,,,,,,,,,,,,,,,,
26-02-2022,2nd Floor Night Overflow,,,,,,,,,,,,,,,,,,
