Sleep,Program
06-08-2023,3rd Floor Male
03-08-2023,3rd Floor Male
02-08-2023,3rd Floor Male
03-05-2023,3rd Floor Male
03-05-2023,Day Sleep (3rd Floor)
02-05-2023,Day Sleep (3rd Floor)
01-05-2023,3rd Floor Male
30-04-2023,3rd Floor Male
30-04-2023,Day Sleep (3rd Floor)
29-04-2023,3rd Floor Male
28-04-2023,3rd Floor Male
27-04-2023,3rd Floor Male
26-04-2023,2nd Floor Night Overflow
26-04-2023,2nd Floor Night Overflow
26-04-2023,Day Sleep (3rd Floor)
25-04-2023,3rd Floor Male
25-04-2023,Day Sleep (3rd Floor)
24-04-2023,3rd Floor Male
24-04-2023,Day Sleep (3rd Floor)
23-04-2023,3rd Floor Male
23-04-2023,Day Sleep (3rd Floor)
21-04-2023,1st Floor Riverfront
21-04-2023,Day Sleep (3rd Floor)
20-04-2023,2nd Floor Night Overflow
20-04-2023,Day Sleep (3rd Floor)
19-04-2023,3rd Floor Male
18-04-2023,Day Sleep (3rd Floor)
15-04-2023,3rd Floor Male
15-04-2023,Day Sleep (3rd Floor)
14-04-2023,3rd Floor Male
13-04-2023,3rd Floor Male
13-04-2023,Day Sleep (3rd Floor)
12-04-2023,3rd Floor Male
11-04-2023,3rd Floor Male
09-04-2023,Day Sleep (3rd Floor)
08-04-2023,3rd Floor Male
07-04-2023,3rd Floor Male
30-03-2023,1st Floor Riverfront
29-03-2023,3rd Floor Male
29-03-2023,Day Sleep (3rd Floor)
28-03-2023,1st Floor Riverfront
28-03-2023,1st Floor Riverfront
28-03-2023,Day Sleep (3rd Floor)
27-03-2023,Day Sleep (3rd Floor)
26-03-2023,1st Floor Riverfront
25-03-2023,3rd Floor Male
24-03-2023,3rd Floor Male
23-03-2023,3rd Floor Male
22-03-2023,3rd Floor Male
21-03-2023,3rd Floor Male
18-03-2023,3rd Floor Male
18-03-2023,Day Sleep (3rd Floor)
17-03-2023,3rd Floor Male
16-03-2023,3rd Floor Male
15-03-2023,3rd Floor Male
15-03-2023,Day Sleep (3rd Floor)
14-03-2023,3rd Floor Male
11-03-2023,Day Sleep (3rd Floor)
10-03-2023,3rd Floor Male
09-03-2023,3rd Floor Male
09-03-2023,Day Sleep (3rd Floor)
08-03-2023,3rd Floor Male
07-03-2023,3rd Floor Male
07-03-2023,Day Sleep (3rd Floor)
06-03-2023,1st Floor Riverfront
06-03-2023,Day Sleep (3rd Floor)
05-03-2023,3rd Floor Male
04-03-2023,3rd Floor Male
03-03-2023,1st Floor Riverfront
03-03-2023,3rd Floor Male
03-03-2023,Day Sleep (3rd Floor)
02-03-2023,3rd Floor Male
01-03-2023,Day Sleep (3rd Floor)
28-02-2023,3rd Floor Male
28-02-2023,Day Sleep (3rd Floor)
27-02-2023,1st Floor Riverfront
27-02-2023,Day Sleep (3rd Floor)
26-02-2023,3rd Floor Male
26-02-2023,Day Sleep (3rd Floor)
25-02-2023,1st Floor Riverfront
25-02-2023,Day Sleep (3rd Floor)
24-02-2023,3rd Floor Male
24-02-2023,Day Sleep (3rd Floor)
23-02-2023,3rd Floor Male
23-02-2023,Day Sleep (3rd Floor)
21-02-2023,3rd Floor Male
21-02-2023,Day Sleep (3rd Floor)
20-02-2023,3rd Floor Male
20-02-2023,Day Sleep (3rd Floor)
19-02-2023,3rd Floor Male
19-02-2023,Day Sleep (3rd Floor)
18-02-2023,3rd Floor Male
18-02-2023,Day Sleep (3rd Floor)
17-02-2023,3rd Floor Male
16-02-2023,1st Floor Riverfront
16-02-2023,Day Sleep (3rd Floor)
15-02-2023,3rd Floor Male
12-02-2023,1st Floor Riverfront
12-02-2023,Day Sleep (3rd Floor)
11-02-2023,3rd Floor Male
10-02-2023,1st Floor Riverfront
09-02-2023,1st Floor Riverfront
09-02-2023,Day Sleep (3rd Floor)
08-02-2023,1st Floor Riverfront
08-02-2023,Day Sleep (3rd Floor)
07-02-2023,3rd Floor Male
06-02-2023,Day Sleep (3rd Floor)
05-02-2023,3rd Floor Male
05-02-2023,Day Sleep (3rd Floor)
01-02-2023,3rd Floor Male
31-01-2023,3rd Floor Male
29-01-2023,Day Sleep (3rd Floor)
28-01-2023,1st Floor Riverfront
27-01-2023,3rd Floor Male
26-01-2023,3rd Floor Male
25-01-2023,3rd Floor Male
25-01-2023,Day Sleep (3rd Floor)
24-01-2023,3rd Floor Male
22-01-2023,Day Sleep (3rd Floor)
21-01-2023,3rd Floor Male
20-01-2023,3rd Floor Male
20-01-2023,Day Sleep (3rd Floor)
19-01-2023,3rd Floor Male
19-01-2023,Day Sleep (3rd Floor)
14-01-2023,3rd Floor Male
13-01-2023,Day Sleep (3rd Floor)
12-01-2023,3rd Floor Male
09-01-2023,Day Sleep (3rd Floor)
08-01-2023,3rd Floor Male
08-01-2023,Day Sleep (3rd Floor)
07-01-2023,Day Sleep (3rd Floor)
06-01-2023,3rd Floor Male
05-01-2023,3rd Floor Male
31-12-2022,3rd Floor Male
30-12-2022,3rd Floor Male
29-12-2022,Day Sleep (3rd Floor)
28-12-2022,3rd Floor Male
25-12-2022,Day Sleep (3rd Floor)
24-12-2022,3rd Floor Male
21-12-2022,Day Sleep (3rd Floor)
20-12-2022,3rd Floor Male
19-12-2022,3rd Floor Male
16-12-2022,3rd Floor Male
15-12-2022,Day Sleep (3rd Floor)
14-12-2022,3rd Floor Male
13-12-2022,3rd Floor Male
09-12-2022,Day Sleep (3rd Floor)
07-12-2022,2nd Floor Night Overflow
06-12-2022,Day Sleep (3rd Floor)
05-12-2022,3rd Floor Male
04-12-2022,Day Sleep (3rd Floor)
02-12-2022,3rd Floor Male
01-12-2022,3rd Floor Male
01-12-2022,Day Sleep (3rd Floor)
30-11-2022,3rd Floor Male
28-11-2022,Day Sleep (3rd Floor)
27-11-2022,3rd Floor Male
24-11-2022,3rd Floor Male
23-11-2022,3rd Floor Male
19-11-2022,3rd Floor Male
17-11-2022,3rd Floor Male
16-11-2022,3rd Floor Male
15-11-2022,3rd Floor Male
13-11-2022,3rd Floor Male
12-11-2022,3rd Floor Male
10-11-2022,3rd Floor Male
09-11-2022,3rd Floor Male
09-11-2022,Day Sleep (3rd Floor)
05-11-2022,3rd Floor Male
04-11-2022,3rd Floor Male
04-11-2022,Day Sleep (3rd Floor)
03-11-2022,2nd Floor Night Overflow
02-11-2022,3rd Floor Male
01-11-2022,3rd Floor Male
30-10-2022,Day Sleep (3rd Floor)
29-10-2022,3rd Floor Male
28-10-2022,3rd Floor Male
27-10-2022,3rd Floor Male
25-10-2022,3rd Floor Male
20-10-2022,3rd Floor Male
19-10-2022,3rd Floor Male
18-10-2022,3rd Floor Male
18-10-2022,Day Sleep (3rd Floor)
17-10-2022,3rd Floor Male
17-10-2022,Day Sleep (3rd Floor)
16-10-2022,3rd Floor Male
14-10-2022,3rd Floor Male
11-10-2022,Day Sleep (3rd Floor)
10-10-2022,3rd Floor Male
08-10-2022,3rd Floor Male
07-10-2022,3rd Floor Male
06-10-2022,Day Sleep (3rd Floor)
05-10-2022,3rd Floor Male
05-10-2022,Day Sleep (3rd Floor)
05-10-2022,3rd Floor Male
02-10-2022,3rd Floor Male
02-10-2022,Day Sleep (3rd Floor)
01-10-2022,3rd Floor Male
01-10-2022,Day Sleep (3rd Floor)
30-09-2022,3rd Floor Male
29-09-2022,3rd Floor Male
29-09-2022,Day Sleep (3rd Floor)
28-09-2022,3rd Floor Male
25-09-2022,3rd Floor Male
24-09-2022,3rd Floor Male
20-09-2022,3rd Floor Male
18-09-2022,3rd Floor Male
16-09-2022,3rd Floor Male
15-09-2022,3rd Floor Male
14-09-2022,3rd Floor Male
13-09-2022,3rd Floor Male
11-09-2022,3rd Floor Male
11-09-2022,Day Sleep (3rd Floor)
10-09-2022,3rd Floor Male
10-09-2022,Day Sleep (3rd Floor)
09-09-2022,3rd Floor Male
08-09-2022,3rd Floor Male
07-09-2022,3rd Floor Male
03-09-2022,3rd Floor Male
31-08-2022,3rd Floor Male
